,original,lemma,Part of Speech
0,New,new,ADJ
1,research,research,NOUN
2,shows,show,VERB
3,that,that,ADP
4,insects,insect,NOUN
5,feel,feel,VERB
6,pain,pain,NOUN
7,.,.,PUNCT
8,The,the,DET
9,researchers,researcher,NOUN
10,say,say,VERB
11,it,-PRON-,PRON
12,is,be,VERB
13,n't,not,ADV
14,the,the,DET
15,same,same,ADJ
16,kind,kind,NOUN
17,of,of,ADP
18,pain,pain,NOUN
19,that,that,ADP
20,humans,human,NOUN
21,feel,feel,VERB
22,.,.,PUNCT
23,The,the,DET
24,pain,pain,NOUN
25,that,that,ADJ
26,insects,insect,VERB
27,feel,feel,VERB
28,is,be,VERB
29,a,a,DET
30,sensation,sensation,NOUN
31,that,that,ADJ
32,is,be,VERB
33,like,like,ADP
34,pain,pain,NOUN
35,.,.,PUNCT
36,The,the,DET
37,research,research,NOUN
38,was,be,VERB
39,conducted,conduct,VERB
40,at,at,ADP
41,the,the,DET
42,University,university,PROPN
43,of,of,ADP
44,Sydney,sydney,PROPN
45,in,in,ADP
46,Australia,australia,PROPN
47,.,.,PUNCT
48,Professor,professor,PROPN
49,Greg,greg,PROPN
50,Neely,neely,PROPN
51,",",",",PUNCT
52,co,co,NOUN
53,-,-,PUNCT
54,author,author,NOUN
55,of,of,ADP
56,the,the,DET
57,research,research,NOUN
58,report,report,NOUN
59,",",",",PUNCT
60,said,say,VERB
61,:,:,PUNCT
62,"""","""",PUNCT
63,People,people,NOUN
64,do,do,VERB
65,n't,not,ADV
66,really,really,ADV
67,think,think,VERB
68,of,of,ADP
69,insects,insect,NOUN
70,as,as,ADP
71,feeling,feel,VERB
72,any,any,DET
73,kind,kind,NOUN
74,of,of,ADP
75,pain,pain,NOUN
76,",",",",PUNCT
77,but,but,CCONJ
78,it,-PRON-,PRON
79,'s,be,VERB
80,already,already,ADV
81,been,be,VERB
82,shown,show,VERB
83,in,in,ADP
84,lots,lot,NOUN
85,of,of,ADP
86,different,different,ADJ
87,invertebrate,invertebrate,NOUN
